index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
622	45	9.98111	1	-14	-3.33950	54.35180
623	45	9.98316	1	-15	-4.34200	57.93690
624	45	9.98528	1	-16	-5.41240	61.40040
625	45	9.98759	2	-17	-6.51080	64.95430
626	45	9.99003	2	-18	-7.70520	68.47760
627	45	9.99262	2	-19	-8.80300	72.02990
628	45	9.9932	1	-19	-5.04740	73.19060
629	45	9.99063	1	-18	-3.85320	69.66810
630	45	9.98818	1	-17	-2.75510	66.11500
631	45	9.98587	0	-16	-1.65680	62.56110
632	45	9.98368	0	-15	-0.65450	58.97670
633	45	9.98171	0	-14	 0.51240	55.54230
634	45	9.97981	0	-13	 1.61140	51.98630
635	45	9.97805	-1	-12	 2.71060	48.42970
636	45	9.97643	-1	-12	 3.81000	44.87260
637	45	9.97493	-1	-11	 4.81320	41.28520
638	45	9.97359	-2	-10	 5.91280	37.72710
639	45	9.97243	-2	-9	 7.08070	34.28970
640	45	9.97136	-2	-8	 8.18050	30.73100
641	45	9.97041	-2	-7	 9.18420	27.14220
642	45	9.96962	-3	-6	10.28420	23.58300
643	45	9.96896	-3	-5	11.38420	20.02360
644	45	9.96846	-3	-4	12.58060	16.49390
645	45	9.96808	-4	-3	13.68070	12.93430
646	45	9.96783	-4	-2	14.68450	 9.34500
647	45	9.96773	-4	-1	15.78460	 5.78550
648	45	9.96776	-4	-1	16.88460	 2.22610
649	45	9.96796	-5	0	18.08090	-1.30330
650	45	9.96826	-5	1	19.15270	-4.77110
651	45	9.96869	-5	2	20.15620	-8.35960
652	45	9.96928	-5	3	21.25600	-11.91800
653	45	9.97	-6	4	22.35560	-15.47610
654	45	9.97088	-6	5	23.55140	-19.00390
655	45	9.97189	-6	6	24.65070	-22.56100
656	45	9.97298	-7	7	25.62550	-26.05620
657	45	9.97425	-7	8	26.72450	-29.61220
658	45	9.97568	-7	9	27.91960	-33.13780
659	45	9.97724	-7	9	29.01820	-36.69250
660	45	9.97893	-8	10	30.11650	-40.24640
661	45	9.98074	-8	11	31.11830	-43.82920
662	45	9.98271	-8	12	32.21620	-47.38150
663	45	9.98345	-9	12	35.97160	-46.22080
664	45	9.98148	-9	11	34.87380	-42.66860
665	45	9.97965	-9	10	33.77570	-39.11550
666	45	9.97798	-8	9	32.77360	-35.53180
